 1-771.2069738273843 2-638.0098606684098 3-909.4133230257705 4-542.8927467985937 MY-818.2817327710417 G:_--175.38898597244793 loss-64865.13671875
 1-758.168156698506 2-620.8937969978393 3-828.4674440765301 4-536.0056408146587 MY-846.4317324474808 G:_--310.42609163282214 loss-28407.609375
 1-796.7427669513073 2-572.7830455140437 3-816.5082558654752 4-598.7076423788119 MY-616.9369840682637 G:_-355.84606144578004 loss-552707.9375
 1-645.1259557414305 2-512.4246274627945 3-908.3828685361414 4-462.49753836248135 MY-584.5600890088568 G:_-277.9374493536245 loss-379164.5
 1-752.226809606368 2-569.2329569192796 3-981.2820631988549 4-615.6705469932198 MY-885.4321930067871 G:_--216.19923608750753 loss-20544.490234375
 1-806.5478245925818 2-507.1257789278346 3-835.3786199735852 4-653.0506158458526 MY-624.1612871758225 G:_-782.964491752012 loss-1012560.0
 1-699.7830637507616 2-591.637202177903 3-818.7342525651798 4-568.5740740354154 MY-591.2539038259858 G:_-877.3201702094295 loss-1156514.75
 1-728.9617565216045 2-570.511584392974 3-814.4290336644691 4-652.2444523652475 MY-721.636468080533 G:_-248.87511631244104 loss-123693.0
 1-696.2566295088707 2-538.9226839793629 3-780.8117084534581 4-564.9121558066099 MY-873.8757034142234 G:_--334.9530194348605 loss-118148.0390625
 1-719.8195657056045 2-589.7038902977904 3-758.1337369771007 4-568.8577451370663 MY-583.5155252578402 G:_-885.3422198792261 loss-689377.1875
 1-699.3640343748698 2-573.8651222027563 3-896.2211792203638 4-618.7551346722202 MY-638.2053422693965 G:_-335.6597799333598 loss-46482.65234375
 1-627.0852643733384 2-616.982259109491 3-782.5806380263627 4-741.223475213433 MY-617.0985387991066 G:_-899.8837203103844 loss-447630.65625
 1-700.1857060778027 2-648.8771179106441 3-880.6773996864069 4-487.47024647188687 MY-622.5213594126947 G:_-764.9488870591922 loss-163984.78125
 1-813.5554580523691 2-478.8072581140636 3-720.994320577731 4-692.2288428019808 MY-723.7777206149266 G:_--144.970462500863 loss-374426.78125
 1-617.9717633064225 2-598.3131361990788 3-879.1492092547455 4-467.44904981955324 MY-602.280602403795 G:_-265.16844741575824 loss-88662.359375
 1-879.331585820293 2-630.2596369716722 3-798.1671639641387 4-568.3533543536892 MY-637.1679024068109 G:_-331.1854519468783 loss-111549.8984375
 1-672.7210019235491 2-489.5469395149341 3-745.3631509392764 4-565.8903503870677 MY-589.7643897361592 G:_-299.7825497787749 loss-246545.4375
 1-736.5491579789037 2-682.6524903880021 3-970.1631285799632 4-591.5939402267271 MY-799.6723499905739 G:_--108.07840976384682 loss-716027.25
 1-679.685484648918 2-634.8949566603069 3-864.3385294343725 4-581.4144338789895 MY-642.631949080699 G:_-338.7824847982905 loss-209931.515625
 1-714.6402519073367 2-594.449833385905 3-849.331679030752 4-517.3767899897454 MY-808.1138454383461 G:_--190.7370554486007 loss-744266.0
 1-675.702600427002 2-507.3624977708931 3-829.1693828429993 4-455.65676607732405 MY-651.0753751266037 G:_-204.58139095072033 loss-361569.4375
 1-811.116401161854 2-572.085174524318 3-891.1293189773727 4-531.8651700999924 MY-605.624429896695 G:_-326.2407402032974 loss-185134.5625
 1-719.467337789781 2-542.5975486020287 3-924.6298021933368 4-536.2121734569398 MY-598.8978273492305 G:_-337.3143461077093 loss-127561.1171875
 1-603.2939497365788 2-594.8976338572834 3-900.4513863801419 4-682.2045934186649 MY-601.159166345598 G:_-893.7384675116854 loss-51477.23046875
 1-683.5847974143148 2-516.8718702047267 3-776.9988940949527 4-618.6234521281116 MY-954.8558016209379 G:_--437.98393141621114 loss-1061836.625
 1-695.2710671935134 2-600.9326233652519 3-900.7692669052116 4-615.1398009725893 MY-672.8426274925808 G:_-328.089995872671 loss-74562.8203125
 1-654.6889056657124 2-599.8950289799992 3-953.8574930478209 4-578.9048292704557 MY-745.2559275129556 G:_--66.35109824249992 loss-339539.90625
 1-694.989270789887 2-515.4087710327741 3-822.6425827012866 4-580.200216565009 MY-740.194883147485 G:_--124.78611211471093 loss-512240.71875
 1-656.2832630617328 2-576.3638470409978 3-849.1179505420481 4-492.68793328502295 MY-768.6905635175102 G:_--176.00263023248726 loss-619882.3125
 1-764.2953966096652 2-722.5813489509952 3-971.1178501555488 4-662.702808535262 MY-931.6999995698259 G:_--168.9971910345639 loss-476561.90625
 1-734.1713107086476 2-590.6649304985654 3-918.6860605731936 4-575.2044112398269 MY-786.2888237312328 G:_--111.08441249140594 loss-467499.125
 1-703.0352603670556 2-483.01429519830936 3-922.6347308379243 4-669.9628778439131 MY-796.1308805979844 G:_--213.11658539967505 loss-320649.71875
 1-652.5689739597949 2-553.4537979552647 3-738.3840521846711 4-650.1308794293727 MY-927.3970039493169 G:_--373.94320599405216 loss-502194.5625
 1-752.087371665827 2-556.9670295119898 3-865.317769922229 4-591.959407529517 MY-776.730745969487 G:_--119.76371645749714 loss-399895.65625
 1-735.414562274582 2-531.7097625108031 3-895.0371532278981 4-728.4019046328874 MY-579.6030807256338 G:_-852.1066817851693 loss-277054.28125
 1-783.8799420831149 2-505.4406083998207 3-841.6064037422389 4-566.6914827562508 MY-666.7844372516705 G:_-238.65617114815018 loss-42128.0625
 1-654.8702221719844 2-481.7374559231479 3-902.9889820796108 4-594.2247049659107 MY-667.8477038765295 G:_--86.11024795338164 loss-212858.59375
 1-746.6619940518233 2-677.3587958258149 3-784.5591323537514 4-645.8913227578302 MY-884.332135896998 G:_--238.44081313916786 loss-453771.4375
 1-660.3070126558546 2-506.83625358466446 3-915.2287533539794 4-645.0088808663771 MY-735.454172236001 G:_--128.61791865133654 loss-254685.46875
 1-708.4726731440593 2-643.345690100051 3-903.8518374842124 4-704.1372044262944 MY-659.5240997748582 G:_-883.8215903251928 loss-208905.15625
 1-682.5937250182709 2-614.7279014493116 3-811.7138977481742 4-752.1389063474536 MY-620.3655641762127 G:_-894.3623372730989 loss-214955.921875
 1-718.4478540423802 2-558.4785335974512 3-935.877407545402 4-493.205500114951 MY-870.8129082187191 G:_--277.60740810376814 loss-535740.0
 1-835.9935603005937 2-619.9701023466761 3-982.5132822983762 4-599.6495151976245 MY-828.2096907800706 G:_-171.43982441755395 loss-67372.0859375
 1-626.0236218519227 2-543.3159397705906 3-805.5353334862548 4-646.7387256992143 MY-933.1713587636804 G:_--389.85541899308976 loss-602010.1875
 1-749.4947422582038 2-666.4637707612143 3-968.891212292133 4-483.11908720005584 MY-779.9295119565966 G:_--196.81042475654073 loss-365175.21875
 1-782.3832810883591 2-464.44152052723996 3-896.6570250899691 4-639.5201306592195 MY-575.0195581676975 G:_-789.4219623595425 loss-158658.3125
 1-690.9890507776308 2-601.2475368301693 3-926.9557348781126 4-557.5663793702711 MY-770.5912488582975 G:_--113.02486948802641 loss-292845.90625
 1-644.6983228254328 2-657.2097593122812 3-813.4194166920778 4-662.6020599198431 MY-536.3630805504923 G:_-1708.3352422749404 loss-1777830.5
 1-706.8612779935198 2-586.7584069930723 3-826.5316022651493 4-707.3602517001863 MY-637.8610625457172 G:_-848.8973444473551 loss-283616.5
 1-718.0264439483113 2-567.9800253268672 3-957.7249154375887 4-568.2438964749127 MY-756.864521345886 G:_--88.8844960190188 loss-177285.71875
 1-840.2789503592677 2-578.5437735188549 3-870.2316887898318 4-624.3099614241964 MY-885.6666296683296 G:_--307.1228561494747 loss-415050.9375
 1-698.9611518133686 2-591.6154105571364 3-845.8508390586081 4-593.9067704028347 MY-789.0552391294153 G:_--97.43982857227888 loss-207077.703125
 1-760.5339269574497 2-489.72243663958267 3-843.4461614113252 4-497.0973218794018 MY-694.0754255567717 G:_-195.64701108281093 loss-67044.4609375
 1-612.7509858942303 2-559.5412366748255 3-799.5758569877028 4-558.2498045118245 MY-555.068480435233 G:_-1603.1813240765914 loss-1762307.5
 1-673.401574276593 2-560.3225489819453 3-970.6711222838272 4-535.6655771704078 MY-941.1702217411057 G:_--305.5046445706979 loss-526652.3125
 1-771.7956191799875 2-636.4912574060703 3-853.356147500926 4-542.8995859826999 MY-712.8604363839765 G:_-230.03914959872338 loss-30096.634765625
 1-580.7990784383751 2-621.9106932243127 3-857.8982182318945 4-568.4209269530008 MY-852.0579269580148 G:_--183.637000005014 loss-362857.03125
 1-720.7497891097948 2-562.743786345175 3-875.2707465174554 4-557.4805954283329 MY-630.2408066530008 G:_-327.23978877533204 loss-16556.125
 1-733.4691181897826 2-575.9952035686082 3-816.837756028876 4-594.5785228445599 MY-595.7172863833958 G:_-380.27791718521235 loss-25750.330078125
 1-703.3733292951821 2-604.3961128855663 3-964.6977190631297 4-454.568238532305 MY-561.185046262863 G:_-793.3831922694419 loss-241098.953125
 1-627.3139449557614 2-528.8473426388805 3-795.6156213896954 4-652.2735325872766 MY-531.3110616637574 G:_-897.5362809751231 loss-262010.4375
 1-789.7460643852753 2-482.7627427698585 3-946.8960504687467 4-579.5690198048036 MY-684.7807020636612 G:_-197.98204070619727 loss-34664.1953125
 1-739.1452436358595 2-567.2185608676114 3-802.9120178385523 4-572.8319655208559 MY-643.7055994967602 G:_-323.51296137085114 loss-14082.1962890625
 1-750.695869694323 2-574.0397947635867 3-932.6200551663934 4-598.4628158685268 MY-582.5962102805591 G:_-891.4435844830275 loss-439580.5
 1-719.4710116817661 2-631.989730893981 3-806.6118532458657 4-781.9741913202939 MY-699.9907772161143 G:_-831.9989536778667 loss-253497.3125
 1-644.3157252443706 2-575.2976203547427 3-917.3103717301763 4-623.595081815882 MY-922.0491936360042 G:_--346.7515732812616 loss-566830.5625
 1-676.4064991769021 2-493.27286287901853 3-886.232628352536 4-485.91873311260673 MY-585.5535552886405 G:_-300.36517782396623 loss-22260.142578125
 1-702.4255797237121 2-451.1673516008155 3-886.3644111423387 4-480.53541746383235 MY-669.8711705303188 G:_-181.29618107049674 loss-25045.736328125
 1-780.303866000268 2-583.4041694425791 3-947.2499065127278 4-604.578050716886 MY-591.4478209330173 G:_-891.9563485095618 loss-416296.21875
 1-784.9979032166973 2-547.9530994341754 3-877.4984921178058 4-624.9524659632914 MY-650.5046362166332 G:_-297.4484632175422 loss-25027.763671875
 1-646.0254046469114 2-578.5418380441845 3-776.8048573420623 4-606.0505897956201 MY-516.9666323024799 G:_-1661.5752057417046 loss-1957927.0
 1-632.5696769031948 2-596.0185403220507 3-844.2627712216755 4-573.3699148257335 MY-1051.155603836469 G:_--477.7856890107355 loss-1039197.875
 1-785.818741615357 2-532.8060934807376 3-875.9828320289095 4-675.6572156662376 MY-659.5433419262116 G:_-773.262751554526 loss-129084.578125
 1-669.3718149330272 2-546.7314774255789 3-871.252071576978 4-592.5297529717217 MY-688.2518862602907 G:_--41.520408834711816 loss-244225.140625
 1-699.0810468533001 2-471.2131554026074 3-870.6258357151291 4-487.46674663059565 MY-638.7239361532487 G:_-232.4892192493587 loss-40662.4921875
 1-688.1787774641926 2-506.40733603119696 3-760.7869189532023 4-682.6366244762809 MY-649.6690436818051 G:_-756.7382923493919 loss-196299.203125
 1-704.4371277556818 2-593.6185020298713 3-814.7583422653491 4-544.6547199659215 MY-598.2836119567473 G:_-346.3711080091741 loss-18198.779296875
 1-892.7469505712351 2-504.5869520696944 3-923.0053343300538 4-672.3552125449298 MY-601.1572469738436 G:_-803.4297050958507 loss-207588.234375
 1-835.8153023636738 2-629.8283004302771 3-900.3172198157905 4-659.2514059174754 MY-529.3097415088238 G:_-1700.5185589214534 loss-1776959.75
 1-680.9731040045888 2-634.1674201822415 3-820.9556108808767 4-573.6410421097764 MY-786.627181059549 G:_--112.98613894977257 loss-292264.75
 1-858.3344863196357 2-475.914746742213 3-966.9680267917572 4-667.3284672702164 MY-569.9549292791495 G:_-805.9598174630635 loss-354570.90625
 1-626.8239959980287 2-640.0697085922959 3-873.9998563335606 4-563.4991860041566 MY-628.7058210121685 G:_-334.79336499198814 loss-23385.439453125
 1-690.532296922183 2-571.5874800235324 3-852.6381944887796 4-595.7680199154262 MY-728.7849555879144 G:_--57.19747556438199 loss-106611.7578125
 1-722.9627983824428 2-733.5055259963824 3-911.6273398866413 4-538.1483316800081 MY-588.0186636227812 G:_-850.1296680572269 loss-335421.84375
 1-718.348120503682 2-592.684800111957 3-915.1322184225521 4-600.6893054213405 MY-593.556819376186 G:_-899.127980735771 loss-429860.0625
 1-710.8981225923158 2-607.1560013307763 3-830.3742329629664 4-541.4215440147217 MY-884.9138646535127 G:_--343.49232063879106 loss-546427.75
 1-712.4210176741602 2-578.7092769966899 3-844.9304522650932 4-643.6704754671148 MY-798.5221451737948 G:_--119.81286817710486 loss-243615.1875
 1-812.0167146723394 2-513.239161722239 3-969.0259271259445 4-701.6166106770964 MY-645.5167471763676 G:_-767.7224145458714 loss-183125.953125
 1-828.707555524377 2-487.001008690803 3-802.3825522425685 4-593.869175969772 MY-819.4761921928797 G:_--232.47518350207667 loss-275802.71875
 1-825.4314072037441 2-532.587460700032 3-881.3457944830922 4-609.1895375326827 MY-648.828282497467 G:_-283.75917820256507 loss-15728.64453125
 1-726.5232796613589 2-664.0855338163321 3-890.4211511611402 4-489.7437587154756 MY-775.1474612908693 G:_--185.40370257539365 loss-315413.9375
 1-608.1898610746221 2-664.2094545581355 3-931.1164795471691 4-642.6756972650239 MY-725.0165900578405 G:_--16.82672898321846 loss-164118.3125
 1-729.4827849245538 2-567.1772323256033 3-930.5141903862594 4-686.2265460202105 MY-906.0673926567093 G:_--238.89016033110602 loss-413320.875
 1-868.8681068038205 2-694.113182661612 3-885.4529117730917 4-546.350760422754 MY-604.2853322126384 G:_-842.0654282101156 loss-125803.1171875
