 1-701.3153015620675 2-675.2539774537668 3-810.9155364704628 4-499.4589579054802 MY-617.0593607728881 G:_-782.3995971325921 loss-1521951.375
 1-637.6677825242219 2-466.7150357720306 3-885.4540525822464 4-455.37760397680967 MY-725.978902699057 G:_--170.60129872224735 loss-99633.5859375
 1-739.5306162068207 2-455.62541837436527 3-712.7598648652336 4-452.4147429973156 MY-659.5364508192943 G:_-192.87829217802135 loss-430805.34375
 1-583.6243872820207 2-551.3451754354438 3-787.3441846622248 4-483.9101241026824 MY-667.4284570324793 G:_--83.51833292979688 loss-149813.875
 1-673.8356898006758 2-572.114019085938 3-777.7036334062906 4-467.083717382184 MY-730.7934228961445 G:_--163.70970551396056 loss-80582.0703125
 1-729.5835290710154 2-477.79113383772847 3-765.6860213441207 4-498.53171349444136 MY-699.2882205348786 G:_-178.50291330284983 loss-290451.0
 1-742.6625391887579 2-489.19819576130953 3-804.4821929545624 4-554.9467675623849 MY-755.8075083230021 G:_--166.6093125616926 loss-54728.1640625
 1-646.1002343281045 2-441.4719616750991 3-800.6080981814085 4-496.9402029750416 MY-511.98212299181256 G:_-329.48983868328656 loss-450675.84375
 1-685.3521300453572 2-606.7653985441387 3-892.3809151824112 4-627.2464274992678 MY-571.5450499893578 G:_-1635.220348554781 loss-3650497.25
 1-727.9936627798429 2-453.93861507263733 3-842.3564430580693 4-453.99390580256835 MY-522.0865973488213 G:_-331.852017723816 loss-175031.75
 1-663.3930016828823 2-484.6963790636265 3-881.4567397187556 4-655.6777857954844 MY-976.3851799649926 G:_--491.6888009013661 loss-182395.359375
 1-690.8818903704846 2-509.96949747924845 3-869.2556012730942 4-576.1946873004875 MY-689.6537745549751 G:_-220.3157229242733 loss-107798.2109375
 1-746.8604269977649 2-492.6131259383947 3-794.7101965405416 4-645.6982179971133 MY-634.8798053215972 G:_-757.7333206167975 loss-558740.0
 1-633.822773879305 2-562.3407635388786 3-915.6294811327831 4-572.5440386519199 MY-719.0238443610591 G:_--56.6830808221805 loss-32975.4296875
 1-626.8405602170649 2-474.8601139314927 3-833.0868700907513 4-536.0857844489358 MY-700.073979291327 G:_--125.21386535983424 loss-98863.9453125
 1-781.4073217932972 2-627.1416172731813 3-781.8801561828266 4-481.6730114902907 MY-749.1476897362887 G:_-132.525321754002 loss-24221.275390625
 1-721.391797297182 2-524.0718326873281 3-891.8528236990539 4-512.7362174890449 MY-968.0968652001397 G:_--455.3606477110949 loss-549502.4375
 1-618.2028765890441 2-560.9358320786532 3-826.7097188236695 4-614.1430554877285 MY-905.5745779863539 G:_--344.6387459077007 loss-323930.3125
